DeveloperStatus,Age,EdLevel,Employment,WorkExp,WorkExpLevel,YearsCode,YearOfCodingLevel,DevType,OrgSize,OrgSizeCategory,Industry,AIThreat,Career,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,LanguageCount,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,DatabaseCount,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,PlatformCount,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,WebframeCount,DevEnvsHaveWorkedWith,DevEnvsWantToWorkWith,DevEnvsAdmired,DevEnvsCount,AIModelsHaveWorkedWith,AIModelsWantToWorkWith,AIModelsAdmired,AIModelsCount,AIUsageScale,AIWorkflowSentiment,AIAccuracyTrust,AIComplex,AIToolCurrentlyUseFor,PartialAITaskCount,AIToolDontPlanToUseFor,NoAITaskCount,AIToolPlanToPartiallyUseFor,PlannedPartialAITaskCount,AIToolPlanToMostlyUseFor,PlannedMostlyAITaskCount,AIAgents,AIAgentChange,ConvertedCompYearly,JobSat,,
Professional Developer,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24,Senior,26,Senior,Data engineer,"5,000 to 9,999 employees",Very Large,Software Development,No,No Career Change,United States of America,C#;Python;SQL,Unknown,Unknown,4,Microsoft SQL Server,Unknown,Unknown,2,Amazon Web Services (AWS);Microsoft Azure;Terraform,Unknown,Unknown,4,ASP.NET;ASP.NET Core,Unknown,Unknown,3,Visual Studio;Visual Studio Code,Unknown,Unknown,3,Unknown,Unknown,Unknown,1,1,Indifferent,Neither trust nor distrust,Bad at complex tasks,Unknown,1,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies;Other (write in):,14,Unknown,1,Unknown,1,"No, no Plans",Not at all or minimally,175000,8,,
Professional Developer,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,22,Senior,25,Senior,"Developer, full-stack",Less than 20 employees,Micro,Software Development,I'm not sure,No Career Change,Czech Republic,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript,C#;HTML/CSS;JavaScript,4,,PostgreSQL,Unknown,2,Unknown,Unknown,Unknown,1,ASP.NET Core;Blazor;Vue.js,ASP.NET Core;Blazor;Vue.js,ASP.NET Core;Blazor;Vue.js,3,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,5,Unknown,Neither trust nor distrust,"Good, but not great ",Unknown,1,Unknown,1,Unknown,1,Unknown,1,"No, no Plans",Unknown,75410,8,,
Professional Developer,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25,Senior,25,Senior,"Developer, full-stack",Less than 20 employees,Micro,Software Development,No,No Career Change,United Kingdom,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,4,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,1,Microsoft Azure;npm;NuGet,Microsoft Azure;npm;NuGet,Microsoft Azure;npm;NuGet,3,Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET Core,Angular;ASP.NET Core,3,Visual Studio,Visual Studio,Visual Studio,1,Unknown,Unknown,Unknown,1,5,Favorable,Somewhat trust,"Good, but not great ",Writing code;Documenting code;Learning new concepts or technologies,3,Learning about a codebase;Project planning;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,9,Creating or maintaining documentation,1,Unknown,1,"No, no Plans","Yes, somewhat",91215,6,,
Professional Developer,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,33,Senior,38,Senior,"Developer, full-stack",500 to 999 employees,Large,Fintech,I'm not sure,Mild Interest in Changing,United States of America,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,C#;C++,Unknown,10,IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,Unknown,Unknown,7,Amazon Web Services (AWS);Kubernetes;Microsoft Azure;Pip;Yarn,Unknown,Unknown,6,Laravel;Node.js,Unknown,Unknown,3,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;Visual Studio Code,Unknown,Unknown,7,DeepSeek (V- General purpose models);Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models,DeepSeek (V- General purpose models);Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models,DeepSeek (V- General purpose models);Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models,5,5,Favorable,Somewhat trust,Bad at complex tasks,Learning about a codebase;Other (write in):,2,Documenting code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,4,Project planning;Writing code;Debugging or fixing code;Testing code;Committing and reviewing code;Search for answers;Creating or maintaining documentation,7,Unknown,1,"No, no Plans",Not at all or minimally,99999,8,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,Mid,14,Senior,"Developer, game or graphics",100 to 499 employees,Medium,Software Development,No,Strong Interest in Changing,Czech Republic,C#;C++;Python,Unknown,Unknown,4,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Android Studio;IntelliJ IDEA;Notepad++;PyCharm;Rider;Visual Studio;Visual Studio Code,Unknown,Unknown,8,openAI GPT (chatbot models),Unknown,Unknown,2,3,Unfavorable,Somewhat distrust,Very poor at complex tasks,Unknown,1,Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Creating or maintaining documentation;Learning new concepts or technologies,8,Writing code;Debugging or fixing code;Testing code;Search for answers;Generating content or synthetic data,5,Unknown,1,"No, no Plans",Not at all or minimally,43810,3,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11,Senior,15,Senior,"Developer, embedded applications or devices","10,000 or more employees",Very Large,Software Development,I'm not sure,Changed Involuntarily,India,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;MicroPython;Perl;PowerShell;Python;Ruby;Rust;SQL;VBA,Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;Kotlin;MicroPython;Perl;PowerShell;Python;R;Ruby;Rust;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;MicroPython;Perl;PowerShell;Python;Ruby;Rust;SQL,15,Cassandra;Elasticsearch,Cassandra;Elasticsearch,Cassandra;Elasticsearch,2,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,1,Unknown,1,Unknown,1,Unknown,Unknown,75410,10,,
Professional Developer,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,Mid,9,Senior,"Developer, back-end",100 to 499 employees,Medium,Manufacturing,No,Strong Interest in Changing,Malaysia,Go;Java;JavaScript;Python;TypeScript,Go;TypeScript,Go;TypeScript,5,Dynamodb;PostgreSQL,PostgreSQL;Clickhouse,PostgreSQL,3,Amazon Web Services (AWS);Ansible;Bun;Cloudflare;Docker;npm;Pip;Poetry;Vite;Yarn,Amazon Web Services (AWS);Bun;Cloudflare;Docker;Kubernetes;Prometheus;Terraform,Amazon Web Services (AWS);Bun;Cloudflare;Docker,13,FastAPI;Node.js;Nuxt.js;Vue.js,Deno,Unknown,6,Unknown,Unknown,Unknown,1,Unknown,Unknown,Unknown,1,3,Indifferent,Neither trust nor distrust,I don’t use AI / Don’t know,Unknown,1,Project planning;Documenting code;Predictive analytics;Search for answers;Creating or maintaining documentation,5,Unknown,1,Learning about a codebase;Writing code;Debugging or fixing code;Testing code;Committing and reviewing code;Deployment and monitoring;Learning new concepts or technologies,7,"No, Planning Soon",Not at all or minimally,28275,5,,
Professional Developer,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6,Mid,12,Senior,Academic researcher,"1,000 to 4,999 employees",Large,Higher Education,No,Mild Interest in Changing,Switzerland,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,8,DuckDB;PostgreSQL;SQLite,DuckDB;PostgreSQL;SQLite,DuckDB;PostgreSQL;SQLite,3,Amazon Web Services (AWS);Cargo;Docker;Gradle;Homebrew;Kubernetes;npm;Pip;pnpm;Vite,Amazon Web Services (AWS);Cargo;Homebrew;Kubernetes;Pip;pnpm;Vite,Amazon Web Services (AWS);Cargo;Homebrew;Kubernetes;Pip;pnpm;Vite,10,Astro;Node.js;React;Spring Boot,Node.js;React,Node.js;React,4,Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Claude Code;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,7,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models,5,5,Favorable,Neither trust nor distrust,Bad at complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging or fixing code;Search for answers;Generating content or synthetic data;Learning new concepts or technologies,7,Committing and reviewing code;Deployment and monitoring;Predictive analytics,3,Project planning;Testing code;Creating or maintaining documentation,3,Unknown,1,"Yes, Weekly","Yes, somewhat",117793,8,,
Professional Developer,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,Senior,25,Senior,"Architect, software or solutions",100 to 499 employees,Medium,Software Development,No,No Career Change,Egypt,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,Unknown,Unknown,13,Cosmos DB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite;Supabase,Unknown,Unknown,8,Bun;Docker;Homebrew;Make;Microsoft Azure;npm;NuGet;Pip;pnpm;Supabase;Vite,Unknown,Unknown,12,ASP.NET Core;Blazor;FastAPI;Flask;Next.js;Node.js;React;Vue.js,Unknown,Unknown,9,Cursor;Neovim;Rider;Visual Studio Code;Zed,Unknown,Unknown,6,Anthropic: Claude Sonnet;DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models),Unknown,Unknown,5,4,Favorable,Somewhat distrust,"Good, but not great ",Learning about a codebase;Project planning;Writing code;Debugging or fixing code;Learning new concepts or technologies,5,Committing and reviewing code;Deployment and monitoring;Predictive analytics,3,Unknown,1,Unknown,1,"No, no Plans","Yes, somewhat",63909,10,,
Professional Developer,35-44 years old,Some college/university study without earning a degree,Employed,8,Mid,8,Mid,"Developer, full-stack",20 to 99 employees,Small,Software Development,No,No Career Change,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,Unknown,Unknown,6,PostgreSQL;Redis,SQLite,Unknown,4,Cloudflare;Heroku;Homebrew;Yarn,Vite,Unknown,6,jQuery;React;Ruby on Rails,Laravel;Svelte,Unknown,6,Cursor;Visual Studio Code;Windsurf,Zed,Unknown,5,openAI GPT (chatbot models),Anthropic: Claude Sonnet,Unknown,3,4,Indifferent,Somewhat distrust,Bad at complex tasks,Writing code;Documenting code;Debugging or fixing code;Testing code;Generating content or synthetic data,5,Committing and reviewing code;Deployment and monitoring;Search for answers;Learning new concepts or technologies,4,Learning about a codebase;Project planning;Predictive analytics;Creating or maintaining documentation,4,Unknown,1,"No, Planning Soon",Not at all or minimally,151000,7,,
Professional Developer,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Freelancer,30,Senior,30,Senior,"Founder, technology or otherwise",Unknown,Unknown,Software Development,No,Mild Interest in Changing,Czech Republic,C;Elixir;Go;HTML/CSS;Python;Rust;SQL;Zig,Go;Python;SQL,Go;Python;SQL,8,BigQuery;DuckDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,BigQuery;DuckDB;PostgreSQL;Redis;SQLite,BigQuery;DuckDB;PostgreSQL;Redis;SQLite,7,Amazon Web Services (AWS);Cargo;Digital Ocean;Docker;Google Cloud;Kubernetes;Terraform,Google Cloud;Terraform,Google Cloud;Terraform,7,Unknown,Unknown,Unknown,1,Claude Code;IntelliJ IDEA;Neovim;Visual Studio;Zed,Claude Code;Neovim;Zed,Claude Code;Neovim;Zed,5,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models),Anthropic: Claude Sonnet,5,5,Favorable,Somewhat trust,Neither good nor bad,Writing code;Debugging or fixing code;Committing and reviewing code;Deployment and monitoring;Search for answers;Generating content or synthetic data,6,Predictive analytics,1,Unknown,1,Learning about a codebase;Project planning;Documenting code;Testing code;Creating or maintaining documentation;Learning new concepts or technologies,6,"Yes, Weekly","Yes, somewhat",197225,7,,
Professional Developer,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,7,Mid,16,Senior,"Developer, desktop or enterprise applications",100 to 499 employees,Medium,Software Development,I'm not sure,Mild Interest in Changing,Russian Federation,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;SQL;TypeScript,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;SQL;TypeScript,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;SQL;TypeScript,7,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,3,Chocolatey;Docker;Kubernetes;Make;MSBuild;NuGet,Chocolatey;Docker;Kubernetes;Make;MSBuild;NuGet,Chocolatey;Docker;Kubernetes;Make;MSBuild;NuGet,6,Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET;ASP.NET Core,Angular;ASP.NET;ASP.NET Core,3,Rider;Visual Studio Code,Rider;Visual Studio Code,Rider;Visual Studio Code,2,Unknown,Unknown,Unknown,1,3,Favorable,Somewhat distrust,Bad at complex tasks,Learning about a codebase;Documenting code;Search for answers;Generating content or synthetic data;Creating or maintaining documentation;Learning new concepts or technologies,6,Unknown,1,Project planning;Debugging or fixing code;Deployment and monitoring;Predictive analytics,4,Writing code;Committing and reviewing code,2,"No, Planning Soon",Not at all or minimally,75410,6,,
